Sr No.,Utterance,Speaker,Emotion,Trigger,Dialogue_ID,Utterance_ID,Episode_No
73,Do I ever.,Chandler,joy,0.0,11,2,2.0
74,Chris says they're closing down the bar.,Monica,sadness,0.0,11,3,2.0
75,No way!,Chandler,surprise,0.0,11,4,2.0
76,"Yeah, apparently they're turning it into some kinda coffee place.",Monica,neutral,1.0,11,5,2.0
77,Just coffee! Where are we gonna hang out now?,Chandler,disgust,0.0,11,6,2.0
78,"Hey, Mon.",Chandler,neutral,0.0,12,0,2.0
79,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,12,1,2.0
80,Do I ever.,Chandler,joy,0.0,12,2,2.0
81,Chris says they're closing down the bar.,Monica,sadness,1.0,12,3,2.0
82,No way!,Chandler,surprise,0.0,12,4,2.0
83,"Yeah, apparently they're turning it into some kinda coffee place.",Monica,neutral,1.0,12,5,2.0
84,Just coffee! Where are we gonna hang out now?,Chandler,disgust,1.0,12,6,2.0
85,Got me.,Monica,sadness,0.0,12,7,2.0
86,"Hey, Mon.",Chandler,neutral,0.0,13,0,2.0
87,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,13,1,2.0
88,Do I ever.,Chandler,joy,0.0,13,2,2.0
89,Chris says they're closing down the bar.,Monica,sadness,0.0,13,3,2.0
90,No way!,Chandler,surprise,0.0,13,4,2.0
91,"Yeah, apparently they're turning it into some kinda coffee place.",Monica,neutral,0.0,13,5,2.0
92,Just coffee! Where are we gonna hang out now?,Chandler,disgust,0.0,13,6,2.0
93,Got me.,Monica,sadness,1.0,13,7,2.0
94,Can I get a beer.,Chandler,neutral,1.0,13,8,2.0
95,"Hey, Mon.",Chandler,neutral,0.0,14,0,2.0
96,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,14,1,2.0
97,Do I ever.,Chandler,joy,0.0,14,2,2.0
98,Chris says they're closing down the bar.,Monica,sadness,0.0,14,3,2.0
99,No way!,Chandler,surprise,0.0,14,4,2.0
100,"Yeah, apparently they're turning it into some kinda coffee place.",Monica,neutral,0.0,14,5,2.0
101,Just coffee! Where are we gonna hang out now?,Chandler,disgust,0.0,14,6,2.0
102,Got me.,Monica,sadness,0.0,14,7,2.0
103,Can I get a beer.,Chandler,neutral,0.0,14,8,2.0
104,"Hey, did you pick a roommate?",Monica,neutral,1.0,14,9,2.0
105,"Hey, Mon.",Chandler,neutral,0.0,15,0,2.0
106,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,15,1,2.0
107,Do I ever.,Chandler,joy,0.0,15,2,2.0
108,Chris says they're closing down the bar.,Monica,sadness,0.0,15,3,2.0
109,No way!,Chandler,surprise,0.0,15,4,2.0
110,"Yeah, apparently they're turning it into some kinda coffee place.",Monica,neutral,0.0,15,5,2.0
111,Just coffee! Where are we gonna hang out now?,Chandler,disgust,0.0,15,6,2.0
112,Got me.,Monica,sadness,0.0,15,7,2.0
113,Can I get a beer.,Chandler,neutral,0.0,15,8,2.0
114,"Hey, did you pick a roommate?",Monica,neutral,1.0,15,9,2.0
115,You betcha!,Chandler,joy,0.0,15,10,2.0
116,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,0.0,16,0,3.0
117,"What, what, what?!",Chandler,surprise,0.0,16,1,3.0
118,What?!,Phoebe,surprise,1.0,16,2,3.0
119,He was with her when he wrote this poem.,Phoebe,neutral,0.0,16,3,3.0
120,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,0.0,17,0,3.0
121,"What, what, what?!",Chandler,surprise,0.0,17,1,3.0
122,What?!,Phoebe,surprise,0.0,17,2,3.0
123,He was with her when he wrote this poem.,Phoebe,neutral,0.0,17,3,3.0
124,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,1.0,17,4,3.0
125,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,1.0,17,5,3.0
126,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,0.0,17,6,3.0
127,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,0.0,18,0,3.0
128,"What, what, what?!",Chandler,surprise,0.0,18,1,3.0
129,What?!,Phoebe,surprise,0.0,18,2,3.0
130,He was with her when he wrote this poem.,Phoebe,neutral,0.0,18,3,3.0
131,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,1.0,18,4,3.0
132,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,1.0,18,5,3.0
133,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,1.0,18,6,3.0
134,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,0.0,18,7,3.0
135,Hey!,Rachel,surprise,0.0,19,0,4.0
136,Hi!,Ross,joy,0.0,19,1,4.0
137,What are you doing here?,Rachel,surprise,1.0,19,2,4.0
138,"Ah y'know, this building is on my paper route so I...",Ross,neutral,0.0,19,3,4.0
139,Hey!,Rachel,surprise,0.0,20,0,4.0
140,Hi!,Ross,joy,0.0,20,1,4.0
141,What are you doing here?,Rachel,surprise,0.0,20,2,4.0
142,"Ah y'know, this building is on my paper route so I...",Ross,neutral,1.0,20,3,4.0
143,Oh.,Rachel,neutral,0.0,20,4,4.0
144,Hey!,Rachel,surprise,0.0,21,0,4.0
145,Hi!,Ross,joy,0.0,21,1,4.0
146,What are you doing here?,Rachel,surprise,0.0,21,2,4.0
147,"Ah y'know, this building is on my paper route so I...",Ross,neutral,0.0,21,3,4.0
148,Oh.,Rachel,neutral,0.0,21,4,4.0
149,Hi.,Ross,neutral,0.0,21,5,4.0
150,Hi.,Rachel,neutral,0.0,21,6,4.0
151,How'd did it go?,Ross,neutral,1.0,21,7,4.0
152,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",Rachel,joy,1.0,21,8,4.0
153,Hey!,Rachel,surprise,0.0,22,0,4.0
154,Hi!,Ross,joy,0.0,22,1,4.0
155,What are you doing here?,Rachel,surprise,0.0,22,2,4.0
156,"Ah y'know, this building is on my paper route so I...",Ross,neutral,0.0,22,3,4.0
157,Oh.,Rachel,neutral,0.0,22,4,4.0
158,Hi.,Ross,neutral,0.0,22,5,4.0
159,Hi.,Rachel,neutral,0.0,22,6,4.0
160,How'd did it go?,Ross,neutral,0.0,22,7,4.0
161,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",Rachel,joy,1.0,22,8,4.0
162,I'm so proud of you.,Ross,joy,0.0,22,9,4.0
163,Hey!,Rachel,surprise,0.0,23,0,4.0
164,Hi!,Ross,joy,0.0,23,1,4.0
165,What are you doing here?,Rachel,surprise,0.0,23,2,4.0
166,"Ah y'know, this building is on my paper route so I...",Ross,neutral,0.0,23,3,4.0
167,Oh.,Rachel,neutral,0.0,23,4,4.0
168,Hi.,Ross,neutral,0.0,23,5,4.0
169,Hi.,Rachel,neutral,0.0,23,6,4.0
170,How'd did it go?,Ross,neutral,0.0,23,7,4.0
171,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",Rachel,joy,0.0,23,8,4.0
172,I'm so proud of you.,Ross,joy,0.0,23,9,4.0
173,Me too!,Rachel,joy,0.0,23,10,4.0
174,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",Ross,sadness,1.0,23,11,4.0
175,Hey!,Rachel,surprise,0.0,24,0,4.0
176,Hi!,Ross,joy,0.0,24,1,4.0
177,What are you doing here?,Rachel,surprise,0.0,24,2,4.0
178,"Ah y'know, this building is on my paper route so I...",Ross,neutral,0.0,24,3,4.0
179,Oh.,Rachel,neutral,0.0,24,4,4.0
180,Hi.,Ross,neutral,0.0,24,5,4.0
181,Hi.,Rachel,neutral,0.0,24,6,4.0
182,How'd did it go?,Ross,neutral,0.0,24,7,4.0
183,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",Rachel,joy,0.0,24,8,4.0
184,I'm so proud of you.,Ross,joy,0.0,24,9,4.0
185,Me too!,Rachel,joy,0.0,24,10,4.0
186,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",Ross,sadness,1.0,24,11,4.0
187,I know.,Rachel,neutral,0.0,24,12,4.0
188,Hey!,Rachel,surprise,0.0,25,0,4.0
189,Hi!,Ross,joy,0.0,25,1,4.0
190,What are you doing here?,Rachel,surprise,0.0,25,2,4.0
191,"Ah y'know, this building is on my paper route so I...",Ross,neutral,0.0,25,3,4.0
192,Oh.,Rachel,neutral,0.0,25,4,4.0
193,Hi.,Ross,neutral,0.0,25,5,4.0
194,Hi.,Rachel,neutral,0.0,25,6,4.0
195,How'd did it go?,Ross,neutral,0.0,25,7,4.0
196,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",Rachel,joy,0.0,25,8,4.0
197,I'm so proud of you.,Ross,joy,0.0,25,9,4.0
198,Me too!,Rachel,joy,0.0,25,10,4.0
199,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",Ross,sadness,0.0,25,11,4.0
200,I know.,Rachel,neutral,1.0,25,12,4.0
201,Yeah.,Ross,neutral,0.0,25,13,4.0
202,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,26,0,5.0
203,You liked it? You really liked it?,Joey,surprise,0.0,26,1,5.0
204,"Oh-ho-ho, yeah!",Chandler,joy,1.0,26,2,5.0
205,Which part exactly?,Joey,neutral,1.0,26,3,5.0
206,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,27,0,5.0
207,You liked it? You really liked it?,Joey,surprise,0.0,27,1,5.0
208,"Oh-ho-ho, yeah!",Chandler,joy,0.0,27,2,5.0
209,Which part exactly?,Joey,neutral,1.0,27,3,5.0
210,The whole thing! Can we go?,Chandler,neutral,0.0,27,4,5.0
211,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,28,0,5.0
212,You liked it? You really liked it?,Joey,surprise,0.0,28,1,5.0
213,"Oh-ho-ho, yeah!",Chandler,joy,0.0,28,2,5.0
214,Which part exactly?,Joey,neutral,0.0,28,3,5.0
215,The whole thing! Can we go?,Chandler,neutral,1.0,28,4,5.0
216,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,28,5,5.0
217,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,29,0,5.0
218,You liked it? You really liked it?,Joey,surprise,0.0,29,1,5.0
219,"Oh-ho-ho, yeah!",Chandler,joy,0.0,29,2,5.0
220,Which part exactly?,Joey,neutral,0.0,29,3,5.0
221,The whole thing! Can we go?,Chandler,neutral,0.0,29,4,5.0
222,"Oh no-no-no, give me some specifics.",Joey,anger,1.0,29,5,5.0
223,"I love the specifics, the specifics were the best part!",Chandler,joy,1.0,29,6,5.0
224,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,30,0,5.0
225,You liked it? You really liked it?,Joey,surprise,0.0,30,1,5.0
226,"Oh-ho-ho, yeah!",Chandler,joy,0.0,30,2,5.0
227,Which part exactly?,Joey,neutral,0.0,30,3,5.0
228,The whole thing! Can we go?,Chandler,neutral,0.0,30,4,5.0
229,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,30,5,5.0
230,"I love the specifics, the specifics were the best part!",Chandler,joy,1.0,30,6,5.0
231,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,1.0,30,7,5.0
232,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,31,0,5.0
233,You liked it? You really liked it?,Joey,surprise,0.0,31,1,5.0
234,"Oh-ho-ho, yeah!",Chandler,joy,0.0,31,2,5.0
235,Which part exactly?,Joey,neutral,0.0,31,3,5.0
236,The whole thing! Can we go?,Chandler,neutral,0.0,31,4,5.0
237,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,31,5,5.0
238,"I love the specifics, the specifics were the best part!",Chandler,joy,0.0,31,6,5.0
239,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,1.0,31,7,5.0
240,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,0.0,31,8,5.0
241,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,32,0,5.0
242,You liked it? You really liked it?,Joey,surprise,0.0,32,1,5.0
243,"Oh-ho-ho, yeah!",Chandler,joy,0.0,32,2,5.0
244,Which part exactly?,Joey,neutral,0.0,32,3,5.0
245,The whole thing! Can we go?,Chandler,neutral,0.0,32,4,5.0
246,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,32,5,5.0
247,"I love the specifics, the specifics were the best part!",Chandler,joy,0.0,32,6,5.0
248,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,0.0,32,7,5.0
249,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,1.0,32,8,5.0
250,You fell asleep!!,Joey,anger,0.0,32,9,5.0
251,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,33,0,5.0
252,You liked it? You really liked it?,Joey,surprise,0.0,33,1,5.0
253,"Oh-ho-ho, yeah!",Chandler,joy,0.0,33,2,5.0
254,Which part exactly?,Joey,neutral,0.0,33,3,5.0
255,The whole thing! Can we go?,Chandler,neutral,0.0,33,4,5.0
256,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,33,5,5.0
257,"I love the specifics, the specifics were the best part!",Chandler,joy,0.0,33,6,5.0
258,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,0.0,33,7,5.0
259,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,0.0,33,8,5.0
260,You fell asleep!!,Joey,anger,0.0,33,9,5.0
261,There was no kangaroo!,Joey,anger,0.0,33,10,5.0
262,They didn't take any of my suggestions!,Joey,anger,1.0,33,11,5.0
263,That's for coming buddy.,Joey,neutral,1.0,33,12,5.0
264,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,34,0,5.0
265,You liked it? You really liked it?,Joey,surprise,0.0,34,1,5.0
266,"Oh-ho-ho, yeah!",Chandler,joy,0.0,34,2,5.0
267,Which part exactly?,Joey,neutral,0.0,34,3,5.0
268,The whole thing! Can we go?,Chandler,neutral,0.0,34,4,5.0
269,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,34,5,5.0
270,"I love the specifics, the specifics were the best part!",Chandler,joy,0.0,34,6,5.0
271,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,0.0,34,7,5.0
272,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,0.0,34,8,5.0
273,You fell asleep!!,Joey,anger,1.0,34,9,5.0
274,There was no kangaroo!,Joey,anger,1.0,34,10,5.0
275,They didn't take any of my suggestions!,Joey,anger,1.0,34,11,5.0
276,That's for coming buddy.,Joey,neutral,0.0,34,12,5.0
277,I'll see you later.,Joey,neutral,1.0,34,13,5.0
278,Don't go!,Chandler,sadness,0.0,34,14,5.0
279,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,35,0,5.0
280,You liked it? You really liked it?,Joey,surprise,0.0,35,1,5.0
281,"Oh-ho-ho, yeah!",Chandler,joy,0.0,35,2,5.0
282,Which part exactly?,Joey,neutral,0.0,35,3,5.0
283,The whole thing! Can we go?,Chandler,neutral,0.0,35,4,5.0
284,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,35,5,5.0
285,"I love the specifics, the specifics were the best part!",Chandler,joy,0.0,35,6,5.0
286,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,0.0,35,7,5.0
287,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,0.0,35,8,5.0
288,You fell asleep!!,Joey,anger,0.0,35,9,5.0
289,There was no kangaroo!,Joey,anger,0.0,35,10,5.0
290,They didn't take any of my suggestions!,Joey,anger,0.0,35,11,5.0
291,That's for coming buddy.,Joey,neutral,0.0,35,12,5.0
292,I'll see you later.,Joey,neutral,0.0,35,13,5.0
293,Don't go!,Chandler,sadness,0.0,35,14,5.0
294,I'm sorry.,Chandler,sadness,0.0,35,15,5.0
295,I'm so sorry!,Chandler,sadness,0.0,35,16,5.0
296,Look!,Chandler,surprise,1.0,35,17,5.0
297,Good job Joe! Well done! Top notch!,Chandler,joy,0.0,36,0,5.0
298,You liked it? You really liked it?,Joey,surprise,0.0,36,1,5.0
299,"Oh-ho-ho, yeah!",Chandler,joy,0.0,36,2,5.0
300,Which part exactly?,Joey,neutral,0.0,36,3,5.0
301,The whole thing! Can we go?,Chandler,neutral,0.0,36,4,5.0
302,"Oh no-no-no, give me some specifics.",Joey,anger,0.0,36,5,5.0
303,"I love the specifics, the specifics were the best part!",Chandler,joy,0.0,36,6,5.0
304,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,0.0,36,7,5.0
305,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,0.0,36,8,5.0
306,You fell asleep!!,Joey,anger,0.0,36,9,5.0
307,There was no kangaroo!,Joey,anger,0.0,36,10,5.0
308,They didn't take any of my suggestions!,Joey,anger,0.0,36,11,5.0
309,That's for coming buddy.,Joey,neutral,0.0,36,12,5.0
310,I'll see you later.,Joey,neutral,0.0,36,13,5.0
311,Don't go!,Chandler,sadness,0.0,36,14,5.0
312,I'm sorry.,Chandler,sadness,0.0,36,15,5.0
313,I'm so sorry!,Chandler,sadness,0.0,36,16,5.0
314,Look!,Chandler,surprise,0.0,36,17,5.0
315,This guy fell asleep!,Chandler,anger,1.0,36,18,5.0
316,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,0.0,37,0,6.0
317,"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,0.0,37,1,6.0
318,"Okay, that's enough honey!",Chandler,neutral,0.0,37,2,6.0
319,I don't know.  Let me see the ring.,Customer,neutral,1.0,37,3,6.0
320,"Great! Okay, here.",Chandler,joy,0.0,37,4,6.0
321,What've you been up to?,Chandler,neutral,0.0,38,0,7.0
322,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,1.0,38,1,7.0
323,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,1.0,38,2,7.0
324,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,0.0,38,3,7.0
325,What've you been up to?,Chandler,neutral,0.0,39,0,7.0
326,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,0.0,39,1,7.0
327,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,0.0,39,2,7.0
328,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,0.0,39,3,7.0
329,I know.,Ross,neutral,1.0,39,4,7.0
330,I'm back.,Chandler,neutral,0.0,39,5,7.0
331,What've you been up to?,Chandler,neutral,0.0,40,0,7.0
332,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,0.0,40,1,7.0
333,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,0.0,40,2,7.0
334,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,0.0,40,3,7.0
335,I know.,Ross,neutral,0.0,40,4,7.0
336,I'm back.,Chandler,neutral,0.0,40,5,7.0
337,"So, are we gonna get together or what?",Jade,neutral,0.0,40,6,7.0
338,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,0.0,40,7,7.0
339,"Great, I'll see you then.",Jade,neutral,1.0,40,8,7.0
340,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,0.0,40,9,7.0
341,What've you been up to?,Chandler,neutral,0.0,41,0,7.0
342,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,0.0,41,1,7.0
343,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,0.0,41,2,7.0
344,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,0.0,41,3,7.0
345,I know.,Ross,neutral,0.0,41,4,7.0
346,I'm back.,Chandler,neutral,0.0,41,5,7.0
347,"So, are we gonna get together or what?",Jade,neutral,0.0,41,6,7.0
348,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,0.0,41,7,7.0
349,"Great, I'll see you then.",Jade,neutral,0.0,41,8,7.0
350,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,0.0,41,9,7.0
351,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,1.0,41,10,7.0
352,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,0.0,41,11,7.0
353,What've you been up to?,Chandler,neutral,0.0,42,0,7.0
354,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,0.0,42,1,7.0
355,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,0.0,42,2,7.0
356,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,0.0,42,3,7.0
357,I know.,Ross,neutral,0.0,42,4,7.0
358,I'm back.,Chandler,neutral,0.0,42,5,7.0
359,"So, are we gonna get together or what?",Jade,neutral,0.0,42,6,7.0
360,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,0.0,42,7,7.0
361,"Great, I'll see you then.",Jade,neutral,0.0,42,8,7.0
362,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,0.0,42,9,7.0
363,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,0.0,42,10,7.0
364,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,1.0,42,11,7.0
365,Oh my god. You are pure evil.,Ross,disgust,0.0,42,12,7.0
366,What've you been up to?,Chandler,neutral,0.0,43,0,7.0
367,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,0.0,43,1,7.0
368,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,0.0,43,2,7.0
369,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,0.0,43,3,7.0
370,I know.,Ross,neutral,0.0,43,4,7.0
