Dialogue_Id,Speaker,Emotion,Emotion_name,Utterance,Annotate(0/1)
7.0,rosesh,7.0,surprise,bhabhi ke banay hue gulabjamun itne mazbut the?,1
7.0,maya,0.0,neutral,toh radhabhai kyun iodex mal rahi apne pair pe?,0
,,,,,
8.0,maya,0.0,neutral,toh radhabhai kyun iodex mal rahi apne pair pe?,0
8.0,indu,0.0,neutral,iodex kyun?,1
8.0,maya,5.0,sadness,kyunki gulabjamun gir gayi na becari ki pair pe.,0
,,,,,
9.0,indu,0.0,neutral,iodex kyun?,0
9.0,maya,5.0,sadness,kyunki gulabjamun gir gayi na becari ki pair pe.,1
9.0,indu,7.0,surprise,are baap,0
,,,,,
10.0,maya,0.0,neutral,hello maya sarabhai,0
10.0,person1,0.0,neutral,nehi nehi main rajsekhar inamdar,1
10.0,maya,0.0,neutral,main maya sarabhai,0
,,,,,
11.0,person1,0.0,neutral,app main se indravadan sarabhai kayn hain?,0
11.0,indu,4.0,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",1
11.0,person1,4.0,joy,kohi hint to dijiye aap,0
,,,,,
12.0,indu,4.0,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",0
12.0,person1,4.0,joy,kohi hint to dijiye aap,1
12.0,indu,0.0,neutral,"ok ok, indravadan je hain na, he is a dashing",0
,,,,,
13.0,maya,0.0,neutral,main maya sarabhai,0
13.0,person1,0.0,neutral,app main se indravadan sarabhai kayn hain?,0
13.0,indu,4.0,joy,"app hi bataiye, nehi nehi just make a wild guess. hum main se indravadan sarabhai kayn ho sakta hain?",0
13.0,person1,4.0,joy,kohi hint to dijiye aap,1
13.0,indu,0.0,neutral,"ok ok, indravadan je hain na, he is a dashing",1
13.0,maya,2.0,anger,indravadan indravadan baad main khelenge if you dont mind. aap please mujhe bataiyain keya kaam ke liye aaye hain aap?,0
,,,,,
14.0,maya,7.0,surprise,whaat?,0
14.0,person1,0.0,neutral,"haan to aap ke 15 minutes suru hote hain aab. larko, andaar aa jaao.",1
14.0,rosesh,6.0,fear,"oh god, weapons!",0
14.0,maya,6.0,fear,iye sab keya ho raha hain indu?,0
,,,,,
15.0,person1,0.0,neutral,"haan to aap ke 15 minutes suru hote hain aab. larko, andaar aa jaao.",0
15.0,rosesh,6.0,fear,"oh god, weapons!",0
15.0,maya,6.0,fear,iye sab keya ho raha hain indu?,1
15.0,person1,7.0,surprise,accha toh indravadan aap hain,0
,,,,,
16.0,person1,4.0,joy,are nahi nahi cheating kaha kiye hain? are main ne,0
16.0,indu,2.0,anger,of course this is cheating,0
16.0,maya,2.0,anger,"enough. indravadan stop your silly games. aur aap log sab bahar ho jaiye. main samaj geyi, indu ne aapko paise diye hain na hume darane ke liye? out!",1
16.0,person1,2.0,anger,"madam aap iye heya kahi rahi hain? iye time pass nehi hain. file lao idhaar. iye parihe zara aap. notice pariye aap. iye aapne building khari kiye hain na, iye building illegal construction hain.",0
,,,,,
17.0,maya,0.0,neutral,lease dhudne ke liye hume time lagega. hume thora bakt dijiye please,0
17.0,person1,0.0,neutral,teesh din ka notice toh diya tha aapko.,1
17.0,maya,2.0,anger,notice? hume kohi notice nehi mila.,0
,,,,,
18.0,maya,2.0,anger,notice? hume kohi notice nehi mila.,0
18.0,indu,7.0,surprise,"haan, hume kohi notice nehi mila.",0
18.0,person1,0.0,neutral,"kamaal hain, kaise nehi mila. iye dekhiye. registered post office ke receipt.",0
18.0,maya,1.0,contempt,received third march two thousand five. received by monisha sarabhai,1
,,,,,
19.0,monisha,6.0,fear,"wo thori mote mote se the, toh maine socha faltu honge",0
19.0,maya,2.0,anger,indravadan ke naam pe important registered papers tum liye hi kyun?,1
19.0,monisha,5.0,sadness,wo aap ush din ghar pe thi nehi toh keya karti?,0
,,,,,
20.0,monisha,0.0,neutral,mammi ji ush din wo swarupra singh ki ghar gayi thi na,0
20.0,maya,1.0,contempt,please unka naam thora tammez se lo monisha. wo padmabhushan swarupa singh hain.,1
20.0,monisha,7.0,surprise,unka asli naam padmabhushan hain?,0
,,,,,
21.0,sahil,2.0,anger,bina padhe tum wo paper raddi me kaise daal diye?,0
21.0,monisha,6.0,fear,"wo thori mote mote se the, toh maine socha faltu honge",0
21.0,maya,2.0,anger,indravadan ke naam pe important registered papers tum liye hi kyun?,0
21.0,monisha,5.0,sadness,wo aap ush din ghar pe thi nehi toh keya karti?,0
21.0,indu,1.0,contempt,"correct, maya kusur tumhara hi hain. tum ush din ghar pe kyun nehi thi bhai?",0
21.0,monisha,0.0,neutral,mammi ji ush din wo swarupra singh ki ghar gayi thi na,0
21.0,maya,1.0,contempt,please unka naam thora tammez se lo monisha. wo padmabhushan swarupa singh hain.,0
21.0,monisha,7.0,surprise,unka asli naam padmabhushan hain?,1
21.0,sahil,1.0,contempt,"aree, padmabhushan unhe khetab mila hain. classical singing ke liye.",0
,,,,,
22.0,maya,1.0,contempt,please unka naam thora tammez se lo monisha. wo padmabhushan swarupa singh hain.,0
22.0,monisha,7.0,surprise,unka asli naam padmabhushan hain?,0
22.0,sahil,1.0,contempt,"aree, padmabhushan unhe khetab mila hain. classical singing ke liye.",0
22.0,monisha,7.0,surprise,matlab wo ompoori ji ke dubbing nehi karti?,1
22.0,maya,7.0,surprise,"ompoori ji ki dubbing? huh, kise kaha iye tumhe?",0
,,,,,
23.0,maya,7.0,surprise,"ompoori ji ki dubbing? huh, kise kaha iye tumhe?",0
23.0,sahil,0.0,neutral,"ahh, wo dekhiye, app ke piche wo jo chup raha he na wo. daad, bahar aiye.",0
23.0,indu,6.0,fear,"haa, tum uske awaz sune hain? kitne bhari hain. jar wo phone pain 'hello, maya hain' kahta hain toh aisa lagta hain ke kohi don baat kar raha hain.",1
23.0,maya,2.0,anger,what nonsense! tumne unhe gaana gaate hue suna hain kabhi?,0
,,,,,
24.0,sahil,7.0,surprise,bachane?,0
24.0,indu,0.0,neutral,"haan, wo ek din stage pe mike pakarke aaaaaa kar rahi thi, toh mujhe laga use shock laga, mike ke through.",1
24.0,maya,3.0,disgust,you are so funny indravadan. tum circus pe joker ka kaam kyun nehi karte? haan?,0
24.0,sahil,2.0,anger,"well said mom, kam se kam uha tambu toh milega rahne ke liye. kynke daad agar lease ke paper nehi mile na toh iye building toh geyi. yaad kijiye daad kaha rakhe hain aapne lease ke papers.",1
,,,,,
25.0,indu,2.0,anger,sahil maine ehi rakhe the yaar.,0
25.0,maya,3.0,disgust,"aree magar iha se toh sirf tumhare kapre, iye one thousand and one dirty jokes ki kitaab aur chocolate chips cookies ka dabba mila hain. chaar saal purane cookies ka dabba kohi cupboard pe kaise rakh sakta hain indravadan?",1
25.0,indu,1.0,contempt,"kyun, tum pachaas saal purane jewar cupboard pe nehi rakhti?",0
,,,,,
26.0,maya,3.0,disgust,"aree magar iha se toh sirf tumhare kapre, iye one thousand and one dirty jokes ki kitaab aur chocolate chips cookies ka dabba mila hain. chaar saal purane cookies ka dabba kohi cupboard pe kaise rakh sakta hain indravadan?",0
26.0,indu,1.0,contempt,"kyun, tum pachaas saal purane jewar cupboard pe nehi rakhti?",0
26.0,maya,0.0,neutral,"aah, this man. sahil beta, sayed tumhare ghar ho, tumhare tijori me galati se rakh diya ho, haan.",1
,,,,,
27.0,monisha,7.0,surprise,matlab wo ompoori ji ke dubbing nehi karti?,0
27.0,maya,7.0,surprise,"ompoori ji ki dubbing? huh, kise kaha iye tumhe?",0
27.0,sahil,0.0,neutral,"ahh, wo dekhiye, app ke piche wo jo chup raha he na wo. daad, bahar aiye.",0
27.0,indu,6.0,fear,"haa, tum uske awaz sune hain? kitne bhari hain. jar wo phone pain 'hello, maya hain' kahta hain toh aisa lagta hain ke kohi don baat kar raha hain.",0
27.0,maya,2.0,anger,what nonsense! tumne unhe gaana gaate hue suna hain kabhi?,0
27.0,indu,0.0,neutral,"of course, main toh bachane daura bhi tha.",0
27.0,sahil,7.0,surprise,bachane?,0
27.0,indu,0.0,neutral,"haan, wo ek din stage pe mike pakarke aaaaaa kar rahi thi, toh mujhe laga use shock laga, mike ke through.",0
27.0,maya,3.0,disgust,you are so funny indravadan. tum circus pe joker ka kaam kyun nehi karte? haan?,0
27.0,sahil,2.0,anger,"well said mom, kam se kam uha tambu toh milega rahne ke liye. kynke daad agar lease ke paper nehi mile na toh iye building toh geyi. yaad kijiye daad kaha rakhe hain aapne lease ke papers.",0
27.0,indu,2.0,anger,sahil maine ehi rakhe the yaar.,0
27.0,maya,3.0,disgust,"aree magar iha se toh sirf tumhare kapre, iye one thousand and one dirty jokes ki kitaab aur chocolate chips cookies ka dabba mila hain. chaar saal purane cookies ka dabba kohi cupboard pe kaise rakh sakta hain indravadan?",0
27.0,indu,1.0,contempt,"kyun, tum pachaas saal purane jewar cupboard pe nehi rakhti?",0
27.0,maya,0.0,neutral,"aah, this man. sahil beta, sayed tumhare ghar ho, tumhare tijori me galati se rakh diya ho, haan.",0
27.0,sahil,0.0,neutral,hamare tijori me se gur ka dibba mila hain mom,0
27.0,maya,7.0,surprise,monishaaa,1
27.0,monisha,0.0,neutral,"wo kitchen main chuhe aate hain na, toh unse bachane ke liye maine gur ka dabba tijori me rakh diya.",0
,,,,,
28.0,maya,7.0,surprise,monishaaa,0
28.0,monisha,0.0,neutral,"wo kitchen main chuhe aate hain na, toh unse bachane ke liye maine gur ka dabba tijori me rakh diya.",1
28.0,maya,2.0,anger,what a wanderful idea monisha. sayed tumne important documents pressure cooker main rakh diye ho hain na. ja kaarke dhundho unhe.,0
,,,,,
29.0,maya,2.0,anger,what a wanderful idea monisha. sayed tumne important documents pressure cooker main rakh diye ho hain na. ja kaarke dhundho unhe.,0
29.0,sahil,0.0,neutral,calm down moom. ush inamdaar ne ek hapta diya hain na.,0
29.0,rosesh,4.0,joy,"eureka, eureka. guys, look what i found",1
29.0,maya,4.0,joy,mil gaye,0
,,,,,
30.0,indu,1.0,contempt,"kyun, tum pachaas saal purane jewar cupboard pe nehi rakhti?",0
30.0,maya,0.0,neutral,"aah, this man. sahil beta, sayed tumhare ghar ho, tumhare tijori me galati se rakh diya ho, haan.",0
30.0,sahil,0.0,neutral,hamare tijori me se gur ka dibba mila hain mom,0
30.0,maya,7.0,surprise,monishaaa,0
30.0,monisha,0.0,neutral,"wo kitchen main chuhe aate hain na, toh unse bachane ke liye maine gur ka dabba tijori me rakh diya.",0
30.0,maya,2.0,anger,what a wanderful idea monisha. sayed tumne important documents pressure cooker main rakh diye ho hain na. ja kaarke dhundho unhe.,0
30.0,sahil,0.0,neutral,calm down moom. ush inamdaar ne ek hapta diya hain na.,0
30.0,rosesh,4.0,joy,"eureka, eureka. guys, look what i found",0
30.0,maya,4.0,joy,mil gaye,0
30.0,sahil,4.0,joy,keya mil gaye papers lease ke?,0
30.0,rosesh,4.0,joy,"nehi. lekin mom aur daad ke marriage anniversary par maine jo kabita likhi thi, wo kisi ne mattress ke niche chupa di thi. wo mil gaye, yippieeeeee",1
30.0,indu,2.0,anger,"sahil, maine jalane ko kaha tha na?",0
,,,,,
31.0,indu,2.0,anger,"sahil, maine jalane ko kaha tha na?",0
31.0,rosesh,4.0,joy,abhi sune deta hun,0
31.0,sahil,3.0,disgust,"baad me. jar hum jhopri pe jayenge na rahne ko, unha sunana. kyunki uha pe na tv hoga, na radio hoga. toh isse behtar entertainment aur keya ho sakte hain.",0
31.0,indu,4.0,joy,"ilabahen. iyaad hain, jis din baa ne iye lease ke papers sign kiye the, ush din ilaben iyi thi. ho sakta hain wo papers ilaben ko de diye ho.",1
,,,,,
32.0,indu,4.0,joy,"ilabahen. iyaad hain, jis din baa ne iye lease ke papers sign kiye the, ush din ilaben iyi thi. ho sakta hain wo papers ilaben ko de diye ho.",0
32.0,maya,4.0,joy,"absolutely indu. phone karo, phone karo. ilaben ko.",0
32.0,rosesh,0.0,neutral,tab tak main kabita sune deta hun,1
32.0,indu,6.0,fear,main phone karke ata hun,0
,,,,,
33.0,sahil,3.0,disgust,"baad me. jar hum jhopri pe jayenge na rahne ko, unha sunana. kyunki uha pe na tv hoga, na radio hoga. toh isse behtar entertainment aur keya ho sakte hain.",0
33.0,indu,4.0,joy,"ilabahen. iyaad hain, jis din baa ne iye lease ke papers sign kiye the, ush din ilaben iyi thi. ho sakta hain wo papers ilaben ko de diye ho.",0
33.0,maya,4.0,joy,"absolutely indu. phone karo, phone karo. ilaben ko.",0
33.0,rosesh,0.0,neutral,tab tak main kabita sune deta hun,0
33.0,indu,6.0,fear,main phone karke ata hun,1
33.0,sahil,6.0,fear,main cupboard me dhundta hun,0
,,,,,
34.0,monisha,0.0,neutral,"wo kitchen main chuhe aate hain na, toh unse bachane ke liye maine gur ka dabba tijori me rakh diya.",0
34.0,maya,2.0,anger,what a wanderful idea monisha. sayed tumne important documents pressure cooker main rakh diye ho hain na. ja kaarke dhundho unhe.,0
34.0,sahil,0.0,neutral,calm down moom. ush inamdaar ne ek hapta diya hain na.,0
34.0,rosesh,4.0,joy,"eureka, eureka. guys, look what i found",0
34.0,maya,4.0,joy,mil gaye,0
34.0,sahil,4.0,joy,keya mil gaye papers lease ke?,0
34.0,rosesh,4.0,joy,"nehi. lekin mom aur daad ke marriage anniversary par maine jo kabita likhi thi, wo kisi ne mattress ke niche chupa di thi. wo mil gaye, yippieeeeee",0
34.0,indu,2.0,anger,"sahil, maine jalane ko kaha tha na?",0
34.0,rosesh,4.0,joy,abhi sune deta hun,0
34.0,sahil,3.0,disgust,"baad me. jar hum jhopri pe jayenge na rahne ko, unha sunana. kyunki uha pe na tv hoga, na radio hoga. toh isse behtar entertainment aur keya ho sakte hain.",0
34.0,indu,4.0,joy,"ilabahen. iyaad hain, jis din baa ne iye lease ke papers sign kiye the, ush din ilaben iyi thi. ho sakta hain wo papers ilaben ko de diye ho.",0
34.0,maya,4.0,joy,"absolutely indu. phone karo, phone karo. ilaben ko.",0
34.0,rosesh,0.0,neutral,tab tak main kabita sune deta hun,1
34.0,indu,6.0,fear,main phone karke ata hun,0
34.0,sahil,6.0,fear,main cupboard me dhundta hun,0
34.0,monisha,6.0,fear,"maine papers dekchi pe rakh diye honge, mammi jii",0
,,,,,
35.0,indu,0.0,neutral,mujhe pata hain,0
35.0,madhusudhan,0.0,neutral,haa?,1
35.0,indu,2.0,anger,madhu bhai mujhe pata hain ki baa ne marne se pahle iye packet ilaben ko diya tha,0
,,,,,
36.0,ila ben,4.0,joy,baa ne iye packet marne se pahle mujhe diya tha,0
36.0,madhusudhan,0.0,neutral,"are iye packet toh baa ne tumhe diya tha, marne se pahle indu",0
36.0,indu,0.0,neutral,mujhe pata hain,0
36.0,madhusudhan,0.0,neutral,haa?,0
36.0,indu,2.0,anger,madhu bhai mujhe pata hain ki baa ne marne se pahle iye packet ilaben ko diya tha,0
36.0,madhusudhan,0.0,neutral,haa?,1
36.0,indu,0.0,neutral,ilaben,0
36.0,ila ben,0.0,neutral,baa ne marne se pahle iye packet mujhe diya tha,0
,,,,,
37.0,madhusudhan,0.0,neutral,haa?,0
37.0,maya,0.0,neutral,jelly khayenge aap? jelly?,1
37.0,madhusudhan,4.0,joy,nehi nehi khana toh ghar se kha kar aye hain. khichuri aur dahi.,0
,,,,,
38.0,madhusudhan,4.0,joy,nehi nehi khana toh ghar se kha kar aye hain. khichuri aur dahi.,0
38.0,maya,0.0,neutral,khane ke baat nehi kar rahi hun. jelly.,1
38.0,madhusudhan,0.0,neutral,haa?,0
,,,,,
39.0,maya,5.0,sadness,aap jelly kaise samjhaun inhe?,0
39.0,ila ben,4.0,joy,"maya direct le aa, har sabd samjhane ka jarurat nehi hain.",1
39.0,maya,4.0,joy,right,0
,,,,,
40.0,madhusudhan,0.0,neutral,haa?,0
40.0,maya,5.0,sadness,aap jelly kaise samjhaun inhe?,0
40.0,ila ben,4.0,joy,"maya direct le aa, har sabd samjhane ka jarurat nehi hain.",0
40.0,maya,4.0,joy,right,0
40.0,indu,4.0,joy,"waise ilaben mujhe samjhana ata hain jelly. madhubhai, maya ne aap ke liye jelly banai hain.",1
40.0,madhusudhan,4.0,joy,"nehi nehi nehi, maya ka dance nehi dhekna mujhe",0
,,,,,
41.0,maya,4.0,joy,right,0
41.0,indu,4.0,joy,"waise ilaben mujhe samjhana ata hain jelly. madhubhai, maya ne aap ke liye jelly banai hain.",1
41.0,madhusudhan,4.0,joy,"nehi nehi nehi, maya ka dance nehi dhekna mujhe",1
41.0,maya,2.0,anger,main dance nehi karne wali hun. indravadan.,0
,,,,,
42.0,maya,2.0,anger,main dance nehi karne wali hun. indravadan.,0
42.0,madhusudhan,0.0,neutral,haa?,1
42.0,maya,0.0,neutral,ilaben please aap un packet kholiye. main jelly le kar ati hun.,0
,,,,,
43.0,ila ben,4.0,joy,"maya direct le aa, har sabd samjhane ka jarurat nehi hain.",0
43.0,maya,4.0,joy,right,0
43.0,indu,4.0,joy,"waise ilaben mujhe samjhana ata hain jelly. madhubhai, maya ne aap ke liye jelly banai hain.",0
43.0,madhusudhan,4.0,joy,"nehi nehi nehi, maya ka dance nehi dhekna mujhe",0
43.0,maya,2.0,anger,main dance nehi karne wali hun. indravadan.,0
43.0,madhusudhan,0.0,neutral,haa?,0
43.0,maya,0.0,neutral,ilaben please aap un packet kholiye. main jelly le kar ati hun.,1
43.0,ila ben,0.0,neutral,"ek churi bhi le ana, iye packet kholna hain",0
,,,,,
44.0,indu,4.0,joy,"waise ilaben mujhe samjhana ata hain jelly. madhubhai, maya ne aap ke liye jelly banai hain.",0
44.0,madhusudhan,4.0,joy,"nehi nehi nehi, maya ka dance nehi dhekna mujhe",0
44.0,maya,2.0,anger,main dance nehi karne wali hun. indravadan.,0
44.0,madhusudhan,0.0,neutral,haa?,0
44.0,maya,0.0,neutral,ilaben please aap un packet kholiye. main jelly le kar ati hun.,0
44.0,ila ben,0.0,neutral,"ek churi bhi le ana, iye packet kholna hain",0
44.0,maya,0.0,neutral,"haan, haan",0
44.0,indu,0.0,neutral,"i am sure, isi main hoga. mujhe kuch kuch iyaad aa raha hain, baa jish din gujri thi naa, ise ek din pehle usko premonition hua tha ki wo jaane wali hain.",1
,,,,,
45.0,maya,0.0,neutral,baa app ko kuch nehi hone wala hain. dekhiye naw baaj rahe hain.,0
45.0,baa,6.0,fear,nehi mai maar jayungi,1
45.0,maya,4.0,joy,kbc chalu hone wala hain,0
,,,,,
46.0,baa,5.0,sadness,toh main dash baaje mar jayungi,0
46.0,maya,0.0,neutral,kal kbc ayega toh?,1
46.0,baa,6.0,fear,dekh dekh yamraj aa gaya,0
,,,,,
47.0,maya,0.0,neutral,kal kbc ayega toh?,0
47.0,baa,6.0,fear,dekh dekh yamraj aa gaya,0
47.0,indu,0.0,neutral,"are nehi baa, wo rosheh hain",0
47.0,rosesh,0.0,neutral,"daad, advocate uncle ne kaha hain ki lease renewal paper baa se sign karwa lijiye.",0
47.0,baa,6.0,fear,"main ja rahi hun, mai jaa rahi hun",0
47.0,indu,0.0,neutral,"baa, pehle papers sign kor lo, fir jana",0
47.0,baa,6.0,fear,"haan haan, makan maya ke naam pe kar du haan, taki wo mujhe ihan se nikal de. hain nah?",0
47.0,rosesh,0.0,neutral,lekin aap toh waise hi ja rahi hain,0
47.0,baa,5.0,sadness,"chup kar. dooriya, dapavar, chipawla. bakuda mere marne ke baad ise mere soksabha pe gaane mat dena",0
47.0,indu,4.0,joy,"on the contrary baa, main toh rosheh se hi gawayunga taki iska gaana sunka jo log nehi ro raahe na wo bhi roona suru kar dain, aur aap ki soksabha hit ho jaaye.",1
47.0,maya,2.0,anger,indravadan baas,0
,,,,,
48.0,baa,0.0,neutral,kyan?,0
48.0,sahil,0.0,neutral,main main hun baa,1
48.0,baa,4.0,joy,sahil babra,0
,,,,,
49.0,sahil,0.0,neutral,main main hun baa,0
49.0,baa,4.0,joy,sahil babra,1
49.0,sahil,4.0,joy,"ji baa, aap ko kuye ka paani chaiye tha so main paani le aya hun",0
,,,,,
50.0,baa,4.0,joy,sahil babra,0
50.0,sahil,4.0,joy,"ji baa, aap ko kuye ka paani chaiye tha so main paani le aya hun",0
50.0,rosesh,0.0,neutral,kaha se?,0
50.0,sahil,1.0,contempt,"kuye se, obviously",0
50.0,baa,5.0,sadness,gangajal le aa babla,0
,,,,,
51.0,baa,5.0,sadness,gangajal le aa babla,0
51.0,indu,0.0,neutral,abhi ish baakt banarash kaha jayega bechara?,1
51.0,baa,0.0,neutral,keya?,0
,,,,,
52.0,sahil,1.0,contempt,"kuye se, obviously",0
52.0,baa,5.0,sadness,gangajal le aa babla,0
52.0,indu,0.0,neutral,abhi ish baakt banarash kaha jayega bechara?,0
52.0,baa,0.0,neutral,keya?,1
52.0,sahil,0.0,neutral,baa aap ish lease renewal papers pe sign kijiye na,0
,,,,,
53.0,baa,0.0,neutral,keya?,0
53.0,sahil,0.0,neutral,baa aap ish lease renewal papers pe sign kijiye na,1
53.0,baa,5.0,sadness,mere pair,0
,,,,,
54.0,maya,2.0,anger,indravadan baas,0
54.0,indu,0.0,neutral,"tum rahne do na maya mere aur baa ki chalti hai, hai nehi baa?",0
54.0,sahil,0.0,neutral,baa,0
54.0,baa,0.0,neutral,kyan?,0
54.0,sahil,0.0,neutral,main main hun baa,0
54.0,baa,4.0,joy,sahil babra,0
54.0,sahil,4.0,joy,"ji baa, aap ko kuye ka paani chaiye tha so main paani le aya hun",0
54.0,rosesh,0.0,neutral,kaha se?,0
54.0,sahil,1.0,contempt,"kuye se, obviously",0
54.0,baa,5.0,sadness,gangajal le aa babla,0
54.0,indu,0.0,neutral,abhi ish baakt banarash kaha jayega bechara?,0
54.0,baa,0.0,neutral,keya?,0
54.0,sahil,0.0,neutral,baa aap ish lease renewal papers pe sign kijiye na,0
54.0,baa,5.0,sadness,mere pair,1
54.0,maya,1.0,contempt,aap ko sign haat se karni hain baa,0
,,,,,
55.0,baa,5.0,sadness,mere pair,0
55.0,maya,1.0,contempt,aap ko sign haat se karni hain baa,1
55.0,baa,2.0,anger,"pair daaba, bare ghaar ke beti tera haath chala",0
,,,,,
56.0,indu,0.0,neutral,abhi ish baakt banarash kaha jayega bechara?,0
56.0,baa,0.0,neutral,keya?,0
56.0,sahil,0.0,neutral,baa aap ish lease renewal papers pe sign kijiye na,0
56.0,baa,5.0,sadness,mere pair,0
56.0,maya,1.0,contempt,aap ko sign haat se karni hain baa,0
56.0,baa,2.0,anger,"pair daaba, bare ghaar ke beti tera haath chala",0
56.0,sahil,0.0,neutral,baa baa sign,0
56.0,baa,1.0,contempt,ha laa. aaaaah kapre dekh ke dhoka maar rahi keya? bakuda maine tujhe kaha tha ki kohi sidhi sadhi chote ghaar ke larki ke saath saadi kar. iye nakchari mere seva keya karegi,0
56.0,maya,0.0,neutral,aap thik hain baa?,0
56.0,baa,4.0,joy,hun. main sign kar dungi naa toh fir se hathore maregi paun pe. haha. de sign karti hun,1
56.0,indu,4.0,joy,marne waali baat toh bhul gayi,0
,,,,,
57.0,indu,4.0,joy,marne waali baat toh bhul gayi,0
57.0,baa,4.0,joy,"le ho gayi sign. are maya beta, mere marne ke baad iye karak tu raakh lena haan. nehi toh sikayat karogi ki baa ne kuch diya hi nehi. are bakuda",1
57.0,indu,0.0,neutral,haa baa,0
,,,,,
58.0,baa,0.0,neutral,main ila ko packet dena chati hun. ila ko bula. tere bapuji kaha hain?,0
58.0,indu,0.0,neutral,baa baa bapuji ilaben ki ghaar hi gaye hain aur kahke gaye hain ki wahi se khana khake ayenge,1
58.0,baa,5.0,sadness,beti ka ghaar ka paani pina bhi paap hain. ila ko bula. main use kuch de dungi paap utarne ke liye,0
,,,,,
59.0,indu,0.0,neutral,correct. baa ne mujhse kaha tha ek bara envelop lane ko. uss bakt wo lease ke papers table pe pare hue the.,0
59.0,ila ben,4.0,joy,"iye packet dete hue baa ne mujhe kaha tha ki ise samhal ke rakhna, bohot kimti hain. maine rakh diye toh rakh diye",0
59.0,madhusudhan,4.0,joy,"ha ha, jelly bohot acchi thi.",0
59.0,maya,0.0,neutral,aur du?,0
59.0,madhusudhan,4.0,joy,"jelly jelly, bohot acchi thi",0
59.0,maya,2.0,anger,ha wo mujhe pata hain. main puch rahi thi ki aur du?,0
59.0,madhusudhan,0.0,neutral,haa?,1
59.0,ila ben,0.0,neutral,"nehi nehi maya aur maat de, thaand hain na, gala kharap ho jayega.",1
59.0,indu,3.0,disgust,are to accha hi hain na ilaben. kamse kam iske haa haa toh nehi sunne paregi,0
,,,,,
60.0,ila ben,0.0,neutral,"nehi nehi maya aur maat de, thaand hain na, gala kharap ho jayega.",0
60.0,indu,3.0,disgust,are to accha hi hain na ilaben. kamse kam iske haa haa toh nehi sunne paregi,0
60.0,madhusudhan,0.0,neutral,haa?,0
60.0,indu,2.0,anger,maya pura bowl le ayo jelly ka,1
60.0,ila ben,4.0,joy,"chal chal indu. le iye khol khol. baa ko pata tha ki main sab cheez samhal ke rakhti hun. haha, isi liye papers mujhe de diye honge aur kankan maya ko diye honge.",1
,,,,,
61.0,indu,2.0,anger,maya pura bowl le ayo jelly ka,0
61.0,ila ben,4.0,joy,"chal chal indu. le iye khol khol. baa ko pata tha ki main sab cheez samhal ke rakhti hun. haha, isi liye papers mujhe de diye honge aur kankan maya ko diye honge.",0
61.0,maya,5.0,sadness,kaha? wo toh usi raat chori ho geyi kbc dhekne ke baad. iyaad nehi? baa ne chor chor karke shoor bhi machaya tha,1
