Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
60,"differences resolve ho gye monisha! katti khatam hogyi is as pathetic as tumara ye candel and ye stickers, nilao inhe bahr. ab inss ghar se agar koi jayega to tumare yeh moddle class decorations. out out! happy diwali baby",maya,joy,1,37
61,radha bai! vitthal! monisha!,maya,neutral,2,0
62,"maya suno, ye kachra nahin hai. yah meri jeans hai favourite.",indu,fear,2,1
63,tumhari favourite jeans mein itna bada chhed hai!,maya,disgust,2,2
64,han to aajkal wo chhed wale kapde pehna fashion mein hai.,indu,neutral,2,3
65,"indravadan ghutne pe ya thighs pe chhed ho tab wo jeans fashionable hoti hai, ismein kahan chhed hai dikhao?",maya,contempt,2,4
66,radha bai! rosesh!,maya,neutral,2,5
67,"haha, kamal hai na dono kam wali bayian aaj gayab hai.",indu,joy,2,6
68,indu! tumhi uthakar ke fenk do bahar chalo.,maya,neutral,2,7
69,haila yah to meri favourite chocolate ka dibba hai maya!,indu,surprise,2,8
70,tumhari favourite chocolate expire ho chuki hai,maya,neutral,2,9
71,"rahane do na maya, kam aaegi",indu,neutral,2,10
72,kya kam aaegi?,maya,neutral,2,11
73,main kha lunga,indu,neutral,2,12
74,indu ismein zahar faila hoga,maya,neutral,2,13
75,to tum kha lena,indu,neutral,2,14
76,kya tum sach mein chahte ho ki main mar jaaun? i'll rephrase the question. agar bhagwan tumhen option de ki tum apni jaan doge ya maya ki to tum kaun sa option chunoge?,maya,neutral,2,15
77,yeah do mein se ek ungali select karo nahin fir se fir se ab,indu,neutral,2,16
78,i have got my answer indravadan,maya,sadness,2,17
79,rosesh kahan the tum? kab se chilla rahi hoon!,indu,neutral,2,18
80,yeh aapka letter...,rosesh,sadness,2,19
81,letter?,maya,surprise,2,20
82,jo aapane dad ko likha tha mere paida hone se pahle!,rosesh,sadness,2,21
83,tere paida hone se pahle? aaye haye kya suhane din the kab lautenge ab pta nhi!,indu,contempt,2,22
84,bahut jald vah din wapas laut aaenge dad,rosesh,sadness,2,23
85,kyon aisa kah rahe ho kya hai is letter main?,maya,neutral,2,24
86,ismein saboot hai ki aap logon ki jindagi mein meri koi jarurat nahin thi! main aap logon ki anchahi aulad hun,rosesh,sadness,2,25
87,rosesh! this is supremely middle class!,maya,contempt,2,26
88,ok main aapka unwanted child hun,rosesh,sadness,2,27
89,"that's better. are rosesh, tumhen aisa kyon lagta hai beta?",maya,neutral,2,28
90,rosesh chup ho jao. monisha pani lekar aao!,sahil,anger,3,0
91,kaunsa wala laun?,monisha,neutral,3,1
92,kaunsa wala matlab?,sahil,neutral,3,2
93,isme lahsun ka tadka gira tha aur ismein ballpen.,monisha,neutral,3,3
94,ball pen leak ho rahi thi?,sahil,neutral,3,4
95,nahi,monisha,neutral,3,5
96,to vah wala pani lekar aao,sahil,neutral,3,6
97,okay,monisha,neutral,3,7
98,hello mujhe batao tum ro kyon rahe ho?,sahil,anger,3,8
99,"momma hai na momma, wo mujhe maarna chahti thi sahil bhai!",rosesh,sadness,3,9
100,mom bhi?,sahil,neutral,3,10
101,haan.,rosesh,sadness,3,11
102,mom tumhe kyun marna chahti thi rosesh? tum mom ko bahut acche lagte ho. tum acting karte ho fir bhi!,sahil,neutral,3,12
103,"mere paida hone se pahle momma ko pata thodi na tha, ki main paida hokar great actor banunga.",rosesh,sadness,3,13
104,yah lijiye,monisha,neutral,3,14
105,thank you. ismein se to ajeeb si smell a rahi hai bhabhi,rosesh,disgust,3,15
106,pee le na! aisi acting kar jaise yah best quality wine ho. great actor hai ye!,sahil,contempt,3,16
107,sahil tum rosesh bhaiya ko tana kyon mar rhe ho?,monisha,neutral,3,17
108,"tana hi to mar rahe hain bhabhi, mom ki tarah jaan se to nahin maar rahe...",rosesh,sadness,3,18
109,mummy ji ne aapko marne ki koshish ki?,monisha,neutral,3,19
110,tum monisha ke kapde pahan ke khade the? haan to kyun?,sahil,neutral,3,20
111,"mere paida hone se pahle sahil bhai, wo teesra bachcha nahin chahti thi. wo mujhe paida hone dena nahin chahti thi!",rosesh,sadness,3,21
112,what nonsense rosesh?,sahil,anger,3,22
113,aisa khat mein likha hai unhone,rosesh,sadness,3,23
114,to mom ke pass us baat ka koi explanation hoga rosesh.,sahil,neutral,3,24
115,lekin unhone aisa socha hi kyon?,rosesh,sadness,3,25
116,rosesh unhone sirf esa socha hai kiya to nahin na?,sahil,anger,3,26
117,han rasesh bhaiya dekhiae na main apna purana kurta kitni bar fenk dene ka sochti hoon lekin fekti thodi hoon,monisha,neutral,3,27
118,monisha tumhare phate hue kurte mein aur rosesh mein thoda fark hai.,sahil,neutral,3,28
119,koi fark nahin hai sahil bhai. main bhi phat chuka hun is purane kurte ki tarah!,rosesh,sadness,3,29
120,aur donon ka colour bhi same hai. dekho. off white.,monisha,neutral,3,30
121,see the coincidence!,rosesh,sadness,3,31
122,are han! rosesh me sirf hook nahin hai...,sahil,anger,3,32
123,momma aap mujhse dur hi rahe to behtar hoga,rosesh,sadness,4,0
124,batao phool khushbu se dur rah sakta hai?,maya,neutral,4,1
125,yah line seriously middle class nahin hai?,rosesh,contempt,4,2
126,han hai. lekin maine socha ki agar main thoda poetic language main tumse baat karun to... lekin batao na phool khushbu se dur ho sakta hai?,maya,neutral,4,3
127,"phool aur khushbu ek dusre se dur rah sakte hain momma, agar phool plastic ke ho to.",rosesh,sadness,4,4
128,nahin nahin please baby apne aap ko plastic ka phool mat kaho,maya,sadness,4,5
129,momma plastic ka phool maine aapko kaha hai. main to bloody fool hun! jo itne salon se soch raha tha ki kisi ko jarurat ho na ho lekin meri momma ko meri jarurat hogi,rosesh,sadness,4,6
130,han to hai na beta hai,maya,neutral,4,7
131,aap jhooth bol rahi hai momma. aap to mere paida hone ke pahle hi...,rosesh,sadness,4,8
132,rosesh baby wo to sirf ek khayal tha.,maya,neutral,4,9
133,matlab khyal tu aaya tha na mera khoon karne ka,rosesh,sadness,4,10
134,rosesh please don't exaggerate. uss waqt meri tabiyat bahut weak thi. dr. jhunjhunwala ne to kaha bhi tha ki teesra bachcha hone mein meri jaan ko khatra hai!,maya,neutral,4,11
135,matlab aapane apni jaan bachane ke liye meri jaan...,rosesh,sadness,4,12
136,"jo sawal apne dad se kiya vahi sawal main aapse karta hun momma, agar bhagwan aap se poochenge ki kisi ek ki jaan ko dena jaruri hai, to aap meri hi jaan dengi na?",rosesh,sadness,4,13
137,"no no i swear baby no! never! mein tumhari jaan kabhi na deti! main bhagwan ko samjhati ki bhagwan rosesh to aap hi ki den hai duniya ko, aap uski jaan mat lijiye. uske badle samne ke ghar ko dekhiye. vahan ek jaan hai jo sara din bhains ki tarah tv ke samne padi rahti hai!",maya,contempt,4,14
138,monisha bhabhi ki baat chhodiye. lekin use waqt to aapane apni hi jaan ki parvah ki thi na momma!,rosesh,neutral,4,15
139,"main na karti rosesh, lekin sahil aur sonia chote chote the aur bai kam chhod kar ke chali gai thi. main khud un donon ko school le jaya karti thi. aur jab hamari gadi kharab ho gai to maine taxi se safar kiya hai lekin uff tak nahin ki. fir part time nauker kam chod ke bhag gya! to maine unke kapde istri kiye hain. inn taklifo ke beech jab mujhe pata chala ki mujhe teesra bachcha hone wala hai, to main qubool karti hun ki ek second ke liye mere man mein yah vichar aaya, to kya maine gunah kiya?",maya,sadness,4,16
140,sorry main ab yahan nahin ruk sakta,rosesh,sadness,4,17
141,tu kahan jaaoge tum?,maya,sadness,4,18
142,wahin jahan kisi ko meri jarurat ho.,rosesh,neutral,4,19
143,tumhari kise jarurat hogi? i mean kisi na kisi ko to hogi jarurat magar kise?,maya,neutral,4,20
144,wo to waqt aane par aur ad aane per pata chal jayega momma.,rosesh,sadness,4,21
145,ad?,maya,surprise,4,22
146,.hahaha. can you imagine sahil do ghante tak rosesh kismi ko apne drama ke dialogue sunata raha dhadak dhadak dhadak. hahaha,indravardhan,joy,5,0
147,vah to theek hai dadi ji zara ye sochiye agar kismi ka ghar kisi kabristan ke pass hota to?,monisha,neutral,5,1
148,to kya. rosesh ko dialogue bolane ki jarurat hi nahin padati. woh chupchap kismi ke samne baitha rahata vah aur apne aap kabristan ka feel aa jata,sahil,joy,5,2
149,hahaha. safed bhoot kahin ka. hahaha,indravardhan,joy,5,3
150,sahil bhai dad?,rosesh,neutral,5,4
151,ayy dekho dekho,indravardhan,neutral,5,5
152,monisha bhabhi,rosesh,neutral,5,6
153,dekho monisha gaur se dekho,indravardhan,neutral,5,7
154,kya kya kya,rosesh,neutral,5,8
155,ek minute ek minute. rosesh baith jao. baith ja aankhen badi kar ab dad ko gauro. dant nikal ke.aaa yah dekho hain same to same,sahil,joy,5,9
156,haan. same,monisha,neutral,5,10
157,kya hua aap sab aise gore kyon rahe? mujhe sharm aa rahi hai,rosesh,joy,5,11
158,oh ho bhoot sharma ra ha hai. hahaha,indravardhan,contempt,5,12
159,achcha yah bata to dauda dauda kyon aaya yahan?,sahil,neutral,5,13
160,are haan. kismi aayi hai kya yahan?,rosesh,neutral,5,14
161,kismi toh mummy ji ke sath gai hai na naukari ka interview dene?,monisha,neutral,5,15
162,raste mein momma ko sarita aunty mil gai vah unhe hi hello kar ne lagi gi kismi gayab,rosesh,neutral,5,16
163,gayab?,indravardhan,surprise,5,17
164,this is the limit indu. are madhubhai is tarah se apni bhatiji ko hamare yahan kaise chhod sakte hain,maya,contempt,6,0
165,isme kya harj kya hai maya,indravardhan,neutral,6,1
166,indravardhan kunwari ladki hai vah. i mean hum responsibility kaise le sakte hain? hamare ghar mein ek handsome young kunwara ladka hai,maya,neutral,6,2
167,chhat main kunwara kahan hun.,indravardhan,joy,6,3
168,main rosesh ki baat kar rahi thi,maya,anger,6,4
169,han rosesh kumara hai per vah handsome kahan hai,indravardhan,neutral,6,5
170,oh cut it out indu in any case mujhe rosesh ki fikar nahin hai. vah aisi mani ben made in jaipur jaisi ladki ke samne aankh uthakar bhi nahin dekhega,maya,contempt,6,6
171,naturally tum uski aankhen nahin noch logi,indravardhan,contempt,6,7
172,well there's that but the point is the rosesh is not a problem. lekin vah ladki kal kuchh ulta sulta ho gaya to fir,maya,neutral,6,8
173,"are don't worry maya, ya kismi is kasam ki ladki nahin hai",indravardhan,neutral,6,9
174,tumhen kaise pata ho sakta hai ki vah pagal ho yah serial killer yah...,maya,neutral,6,10
175,maasi kya sone ki tayari ho rahi hain?,kismi,joy,6,11
176,kiss me please kisi ke kamre mein aane se pahle knock karna chahie,maya,contempt,6,12
177,kal se knock kar ke aaungi na. kaise ho mausa,kismi,joy,6,13
178,ekadam maje mein. aaj mein jamke sounga bhai. daba ke khaya hai maya ke hathon ka bana hua mushroom masala. ,indravardhan,joy,6,14
179,it was mushroom de paiza indravardhan. and please healthily khaya hai bolo daba ke khaya hai is wedding receptionistacally middle class. jahan log daba ke basundi pite hai yah cutlets khate hain. not to forget  trirangi dhokala and paan. lekin i am sure tum to definitely dinner discuss nahi karne aayi hogi ho,maya,contempt,6,15
180,nai masi. isme discuss kya karna. main to non-veg khati hi nahin na,kismi,contempt,6,16
181,excuse me kismi. yah jo mushroom hote hain na vah non-veg nahin hote,maya,neutral,6,17
182,vo non-veg jaisa hi hota hai mausa aur mere jetpur mein haina usse billi ka top kehte hai. vah mareli sadeli gili lakadi per jab bhi nikal aata hai na mushroom kab hai na use,kismi,disgust,6,18
183,excuse me kismi. mushroom koi bimari nahin hai jo nikal kar aaye and please get to the point. tum itni raat ko yahan kyon aayi o,maya,neutral,6,19
184,haan. masi idhar aaju baju mein railway station kahan hai,kismi,neutral,6,20
185,station? kyun?,maya,surprise,6,21
186,vah kya hai na  ki jetpur mein mera ghar railway station ke laggo lag hai. tum mujhe hai na ki train aawar jaawar ki awaaz sunke hi sone ki aadat hai,kismi,neutral,6,22
187,ek minute ek minute kismi. iska matlab tum railway station per jakar sone ki soch rahi ho,indravardhan,neutral,6,23
188,na re sangi nahin per sun ke awoogi tu do ghadi aankh to lagegi na mausa,kismi,neutral,6,24
189,itni raat ko tumhen koi station nahin le ja sakta haa. ek kam karo kudi thodi der chukh chukh bolo aur so jao. ok,maya,neutral,6,25
190,hain?,kismi,surprise,6,26
191,madhubhai ki bhatiji. hain!,indravardhan,anger,6,27
192,yess?,sahil,neutral,7,0
193,hello good night,kismi,joy,7,1
194,haa good night kahane ke liye tum abhi aayi ho,sahil,neutral,7,2
195,han. tum monisha ko bhi bol deti hun. monisha,kismi,neutral,7,3
196,arre shhh,sahil,anger,7,4
197,monisha,kismi,neutral,7,5
198,ayy kismi main manisha ko good night bol dunga chalo aur suno agar kal raat bhi tum bhul gai na good night bolna to parson subah aana belated good night bolna chalao,sahil,neutral,7,6
199,kaun hai sahil? kismi raat ko ek baje,monisha,surprise,7,7
200,raat ke teen baje hi monisha,sahil,neutral,7,8
201,are han meri gadi to ek hafte se band hai,monisha,neutral,7,9
202,tum ek hafte se band ghadi pahan rahi ho,kismi,surprise,7,10
203,han vah gold-plated hai na aur fir hath par bandi hui acchi lagti hai mahangi wali aur vaise bhi kareeb se kaun dekhne aata hai ki band hai ya chalu,monisha,neutral,7,11
204,high class hai haan monisha. per man lo ke kisi ne poochha bahan time kya hua hai toh,kismi,neutral,7,12
205,to main foran chuke kaise deti ho. are meri galti to band ho gai,monisha,neutral,7,13
206,solid high class idea hi monisha. hahaha. ay lekin monisha socho ke kisi sim aadami ne 2-3 bar time poochh liya to,kismi,neutral,7,14
207,yah to maine socha hi nahin kab to use shak ho sakta hai na kismi,monisha,fear,7,15
208,ooo chokriyo. chalo yah band gadi vasul vasul kal subah kheloge to chalega,sahil,neutral,7,16
209,sorry sahil bhai actually mujhe thodi madad chahie thi,kismi,neutral,7,17
210,kaisi,sahil,neutral,7,18
211,vah mujhe railgadi ki awaaz suni thi,kismi,neutral,7,19
212,alka yagnik ya udit narayan ki awaz nahin chalegi na,sahil,contempt,7,20
213,bus bus sahil bhai meri firki khinch rahe ho na,kismi,sadness,7,21
214,nahin nahin kya hai na kar meri cd ke collection mein train ki awaaz wali sidhi nahin hai,sahil,contempt,7,22
215,to ab mujhe nind kaise aaegi,kismi,sadness,7,23
216,ek kam karo abbi please sone ki ki koshish karo agar neend nahi aaye na to man mein main vah bed bakriyan 1 2 3 4 chalo chalo chalo good night,sahil,neutral,7,24
217,good night,monisha,joy,7,25
218,gayab as in thin air. sarita aur main puri building chan mari,maya,neutral,8,0
219,kaun si?,indravardhan,neutral,8,1
220,embassy embassy towers uske aas paas ki sari sadke bhi dekhni hum logon ne,maya,neutral,8,2
221,lekin aapane use naam lekar pukara? use awaaz di?,monisha,neutral,8,3
222,nahin,maya,anger,8,4
223,common maya awaaz to lagani chahie thi na,indravardhan,anger,8,5
224,uska naam kismi hai indu,maya,neutral,8,6
225,toh?,indravardhan,neutral,8,7
226,sarita aur main har jagah kismi kismi kahate hue khoon se to kaisa lagta?,maya,neutral,8,8
227,koi badmash aakar ke momma ko kiss kar leta to,rosesh,fear,8,9
228,right toh. i mean monisha hoti to alag baat thi. usse kis karne kaun aata. lekin main to abhi 35 ki lagti hun na,maya,neutral,8,10
229,bhale hi aap ho 51 ki,rosesh,neutral,8,11
230,yah kahana jaruri tha?,maya,anger,8,12
231,excuse me guys! kismi ke bare mein soche oh my god sahil,sahil,neutral,8,13
232,oh my god sahil 6 bajane wale hain aur tum to jante ho embassy towers ke piche 6 baje ke bad kya hota hai,indravardhan,fear,8,14
233,kya hota hai?,sahil,neutral,8,15
234,up come on ab acting mat karo jaise tumhen kuchh pata hi nahin hai,indravardhan,anger,8,16
235,vakya mein mujhe kuchh pata nahin hai kuchh,sahil,fear,8,17
236,aaaa hahaha. monisha yahan per baithi hai isiliye nirdosh banne ki koshish kar rahe ho.,indravardhan,contempt,8,18
237,indravardhan embassy towers ke piche kya hota hai 6 baje ke bad bako!,maya,anger,8,19
238,kuchh nahin maiya ho gunday mavali wahan chori ka mal bhejte hain. yah imported ghatiya vagaira 400 500rs mein mil jaati hai,indravardhan,neutral,8,20
239,right!,sahil,neutral,8,21
240,are vah. sahil chalo chalo wahan chalte hain vaise bhi meri gadi band ho gai hai chalo na,monisha,joy,8,22
241,monisha,sahil,anger,8,23
242,aur kism bhi toh kho gai hai. haina,monisha,neutral,8,24
243,hello everybody,madhu,joy,8,25
244,oh my goodness madhusudan fufa. koi nahin bataega kismi kho gai hai,sahil,fear,8,26
245,hello madhu bhai aap cold coffee piyenge yah french champagne?,maya,joy,8,27
246,hain?,madhu,neutral,8,28
247,maya. french champagne ghar mein hai?,indravardhan,neutral,8,29
248,bolane mein kya jata hai unhen sunai thodi de raha hai,maya,neutral,8,30
249,yess?,maya,neutral,9,0
250,namaste,kismi,neutral,9,1
251,aap kon?,maya,neutral,9,2
252,kismi,kismi,neutral,9,3
253,excuse me,maya,surprise,9,4
254,mera naam hai. woh chocolate aati thi na meethi meethi godi godi. use pese rakha.,kismi,joy,9,5
255,hi maya,madhu,joy,9,6
256,madhubhai aaye aaye. bahut dino baad.,maya,neutral,9,7
257,"maya ya mere bhai moti lal ji ki chhoti beti, kismi.",madhu,neutral,9,8
258,iska naam sachmuch kismi hai,maya,contempt,9,9
259,nahin nahin iska naam kismi hai,madhu,neutral,9,10
260,dids ne abhi vahi tu kaha mr,naisha,neutral,9,11
261,henh?,madhu,neutral,9,12
262,dids ne abhi wahi kaha,naisha,neutral,9,13
263,maya ya sahil ne ladki ke kapde kyon pahne hain?,madhu,neutral,9,14
264,nahin nahin madhupushpa yah sahil nahin hai yah mummy ji ki bahan hai naisha mausi,monisha,neutral,9,15
265,han han jarur launga. lekin yah sahil ne ladki ke kapde kyon pahne hai?,madhu,neutral,9,16
266,madhu bhai aap baithie na. inne kuchh bhi nahin sunai deta. baithiye madhu bhai,maya,neutral,9,17
267,trivennum!,madhu,neutral,9,18
268,what?,naisha,surprise,9,19
269,madhubhai baithi aap please,maya,anger,9,20
270,kisme aao na tum bhi baitho,monisha,joy,9,21
271,madhu kaka high class  hai inka ghar,kismi,neutral,9,22
272,haan! are maiya bade jatan se rakhti hai apne ghar ko,madhu,neutral,9,23
273,han vah to dikhi raha hai,kismi,neutral,9,24
274,dikhta hai na toh!,madhu,joy,9,25
275,mamma mia ji kitna easily communicate kar rahi hai madhu bai ke sath,maya,surprise,9,26
276,hain?,madhu,neutral,9,27
277,madhubhai yahan kaise aana hua,maya,neutral,9,28
278,nahin nahin khichdi aur kadhi banakar gai hai ila,madhu,neutral,9,29
279,kaka ye poochh rahi hai yahan kaise aana hua?,kismi,neutral,9,30
280,ooo! maiya meri bhatiji jaidpur se mumbai ayi hai. kaam kaaj dhundhne ke liye,madhu,neutral,9,31
281,achha kis tarah ka kaam kaaj?,maya,neutral,9,32
282,aaj? aaj to kitchen repair karenge vah log. lekin yah sahil ne ladki ke kapde kyon pahne hai?,madhu,neutral,9,33
283,kaka yah sahil bhai nahi hai. yah inki bahan hai,kismi,neutral,9,34
284,oo maiya ye tumhari bahan hai ?,madhu,surprise,9,35
285,naisha,maya,neutral,9,36
286,lekin kisme ne to kaha ki tumhari bahan hai,madhu,neutral,9,37
287,madhubhai yah. over to kisme,maya,anger,9,38
288,kaka inka naam hai naisha,kismi,neutral,9,39
289,ooo naisha,madhu,neutral,9,40
290,are vah mummy ji yah ladki to champion hai,monisha,joy,9,41
291,main kaka ke yahan rahane aayi hoon per ke yahan repair chal rahi hai na. to vah mujhe yahan chhodake jale hain,kismi,neutral,9,42
292,what?,maya,surprise,9,43
293,haan.zyada nai en do mahine ke liye,kismi,neutral,9,44
294,ek do mahine. madhubhai that's not possible hah.,maya,fear,9,45
295,thank you maya,madhu,joy,9,46
296,oh my god madhubhai over to kismi. samjhao please,maya,neutral,9,47
297,kaka yah kah rahi hai main yahan nahin rah sakti,kismi,sadness,9,48
298,achcha kyon?,madhu,surprise,9,49
299,achcha kyon ?,kismi,neutral,9,50
300,main sun sakti hun thank you,maya,contempt,9,51
301,han batao na kyon,madhu,neutral,9,52
302,kyunki ki naisha yahan hai na,maya,joy,9,53
303,dids main to aaj hi ja rahi hun sham ko. punjab mujhe yad a raha hai vahan hare hare kheton mein main aur jugalkishor duet gaaye gay. tujhe dekha to yeh jaana sanam,naisha,joy,9,54
304,naisha band karo apna ye punjab tourism. now enough naisha,maya,anger,9,55
305,tujhe dekha to ye jana sanam,naisha,sadness,9,56
306,bass,maya,anger,9,57
307,alright!,naisha,anger,9,58
308,lekin kisme yahan kyon nahin rah sakti maya,madhu,neutral,9,59
309,vahi main sochne ki koshish kar rahi hun madhu bhai.,maya,neutral,9,60
310,hain?,madhu,neutral,9,61
311,hi everybody! hi naisha! ,indravardhan,joy,9,62
312,jiju,naisha,joy,9,63
313,oh my god hain hain kumar,indravardhan,fear,9,64
314,ayyy indu? yah meri bhatiji yahan rah sakti hai kuchh dinon ke liye.,madhu,neutral,9,65
315,sir kya hila rahe ho,maya,anger,9,66
316,are kuchh bolunga to fir yah hain hain karenge,indravardhan,anger,9,67
317,arre per yun bhi to kar sakte ho na main,maya,anger,9,68
318,aisa karta to fir vah kahate kyon nahin rah sakti fir main jawab deta to vah fir se kahate hain hain. isliye maine,indravardhan,contempt,9,69
319,kaka masa ne haan kaha,kismi,joy,9,70
320,hash,madhu,joy,9,71
321,rosesh bhaiya! chai pi lijiye,monisha,neutral,10,0
322,kahan hogi vah is waqt,rosesh,neutral,10,1
323,are vahi table per hi to padhi hui hai,monisha,neutral,10,2
324,mai kismi ki baat kar raha hun bhabhi,rosesh,neutral,10,3
325,umm. sab gaye hain na kismi ko dhundhne ke liye. chaliye aap chai aur kormore kha lijiye chaliye. are han usmein kuchh jale hue kormore bhi hai. unhen side mein kar lijiyega han,monisha,neutral,10,4
326,mujhe nahin khane ja,rosesh,disgust,10,5
327,sare ke sare nahin chale hue hain dekhi na kuchh yellow wali bhi hai. main chunke dun,monisha,neutral,10,6
328,vah baat nahin hai bhabhi mein bus pahunch raha hun ke kismi ko bhi to bhookh lagi hogi,rosesh,neutral,10,7
329,to vahan per jethalal pani puri wala hai na saade pani ki pani puri ke 18 rupaye per plate. aur mineral water ke pani puri ke 30 rupaye per plate. aur pata hai hai jethalal se jyada zidd karo na to do pani puri free mein bhi deta hai,monisha,joy,10,8
330,lekin kismi ke pass paise nahin honge toh? ,rosesh,neutral,10,9
331,to vah free wali pani puri pahle mang legi aur kahegi ki actual plate bad mein khaungi,monisha,joy,10,10
